Date,Time,League,Age Group,Gender,# Refs,Half Length (min),Home Team,Visiting Team,Venue,Field,Division,Game Type,Home Club,Visiting Club,Home Coach Email,Visiting Coach Email,Primary Assignor Email,Secondary Assignor Email,External System,External Game ID,Referee Fee,AR Fee,Fourth Official Fee
08/03/2026,5:30 PM,CT Northeast District Travel League,U19,Female,3,35,Killingly A,Plainfield A,Killingly HS,Turf 2,,League,,,,,,,Referee Tool,2939,55,0,0
08/03/2026,5:30 PM,CT Northeast District Travel League,U19,Female,3,35,Griswold,Woodstock A,Killingly HS,Turf 1,,League,,,,,,,Referee Tool,2938,55,0,0
08/03/2026,7:00 PM,CT Northeast District Travel League,U19,Female,3,35,Plainfield B,Thompson/Putnam,Killingly HS,Turf 2,,League,,,,,,,Referee Tool,2941,55,0,0
08/03/2026,7:00 PM,CT Northeast District Travel League,U19,Female,3,35,Ellis Tech,Norwich Tech,Killingly HS,Turf 1,,League,,,,,,,Referee Tool,2940,55,0,0
08/06/2026,5:30 PM,CT Northeast District Travel League,U19,Female,3,35,Ellis Tech,Killingly A,Killingly HS,Turf 2,,League,,,,,,,Referee Tool,2943,55,0,0
08/06/2026,5:30 PM,CT Northeast District Travel League,U19,Female,3,35,Griswold,Plainfield B,Killingly HS,Turf 1,,League,,,,,,,Referee Tool,2942,55,0,0
08/06/2026,7:00 PM,CT Northeast District Travel League,U19,Female,3,35,Killingly B,Woodstock A,Killingly HS,Turf 1,,League,,,,,,,Referee Tool,2944,55,0,0
08/06/2026,7:00 PM,CT Northeast District Travel League,U19,Female,3,35,Plainfield A,Woodstock B,Killingly HS,Turf 2,,League,,,,,,,Referee Tool,2945,55,0,0
