Home Team,Visiting Team,Duration,Duration Time,Game Date,Start Time,Type (League/Cup/Other),Age Group,Gender,Venue,Venue Field,League,Referee Id,AR1,AR2,4th,Assessor,Diag Sys Ctl,Referee Rate,AR Rate,4th Rate,Assessor Rate,External Game Id
Griswold FC,Tolland SC,2 x 45,100,3/21/2026,0.4583333333,League,2007,M,967,,,0,0,0,0,0,1,40,25,0,0,
Griswold FC Girls,Avon Old Farms SC Girls,2 x 20,45,3/21/2026,0.3541666667,League,2018,F,917,,,0,0,0,0,0,1,40,25,0,0,
Griswold FC,South Windsor SC,2 x 35,75,3/21/2026,0.5416666667,League,2014,F,917,,,0,0,0,0,0,1,40,25,0,0,
Griswold FC,Coventry SC,2 x 40,90,3/21/2026,0.6250000000,League,2011,F,917,,,0,0,0,0,0,1,40,25,0,0,
Griswold FC Boys,Windsor FC Boys,2 x 20,45,3/21/2026,0.3541666667,League,2018,M,917,,,0,0,0,0,0,1,40,25,0,0,
Griswold FC Boys,Canterbury SC Boys,2 x 30,65,3/21/2026,0.4375000000,League,2016,M,917,,,0,0,0,0,0,1,40,25,0,0,
Griswold FC Girls,Plainfield SC Girls,2 x 30,65,3/21/2026,0.4375000000,League,2016,F,917,,,0,0,0,0,0,1,40,25,0,0,
