Home Team,Visiting Team,Duration,Duration Time,Game Date,Start Time,Type (League/Cup/Other),Gender,Venue,Venue Field,League,Referee Id,AR1,AR2,4th,Assessor,Diag Sys Ctl,Referee Rate,AR Rate,4th Rate,Assessor Rate,External Game Id
Griswold FC,Tolland SC,2 x 45,100,3/21/2026,11:00 AM,League,M,967,,Southeast District (21),0,0,0,0,0,1,40,25,0,0,
Griswold FC Girls,Avon Old Farms SC Girls,2 x 20,45,3/21/2026,8:30 AM,League,F,917,,Southeast District (21),0,0,0,0,0,1,40,25,0,0,
Griswold FC,South Windsor SC,2 x 35,75,3/21/2026,1:00 PM,League,F,917,,Southeast District (21),0,0,0,0,0,1,40,25,0,0,
Griswold FC,Coventry SC,2 x 40,90,3/21/2026,3:00 PM,League,F,917,,Southeast District (21),0,0,0,0,0,1,40,25,0,0,
Griswold FC Boys,Windsor FC Boys,2 x 20,45,3/21/2026,8:30 AM,League,M,917,,Southeast District (21),0,0,0,0,0,1,40,25,0,0,
Griswold FC Boys,Canterbury SC Boys,2 x 30,65,3/21/2026,10:30 AM,League,M,917,,Southeast District (21),0,0,0,0,0,1,40,25,0,0,
Griswold FC Girls,Plainfield SC Girls,2 x 30,65,3/21/2026,10:30 AM,League,F,917,,Southeast District (21),0,0,0,0,0,1,40,25,0,0,
